game,country,lat,long,Unnamed: 0,platform,year,Variable,playtime
Overwatch,Taiwan,25.11,121.6,52301.0,PS4,2016.0,Genre,Shooter
Overwatch,Taiwan,25.11,121.6,52302.0,XOne,2016.0,Genre,Shooter
Overwatch,Taiwan,25.11,121.6,52303.0,PC,2016.0,Genre,Shooter
Overwatch,Taiwan,25.11,121.6,69020.0,PS4,2016.0,Publisher,Activision
Overwatch,Taiwan,25.11,121.6,69021.0,XOne,2016.0,Publisher,Activision
Overwatch,Taiwan,25.11,121.6,69022.0,PC,2016.0,Publisher,Activision
Overwatch,Taiwan,25.11,121.6,85739.0,PS4,2016.0,NA_Sales,0.81
Overwatch,Taiwan,25.11,121.6,85740.0,XOne,2016.0,NA_Sales,0.63
Overwatch,Taiwan,25.11,121.6,85741.0,PC,2016.0,NA_Sales,0.25
Overwatch,Taiwan,25.11,121.6,102458.0,PS4,2016.0,EU_Sales,0.85
Overwatch,Taiwan,25.11,121.6,102459.0,XOne,2016.0,EU_Sales,0.33
Overwatch,Taiwan,25.11,121.6,102460.0,PC,2016.0,EU_Sales,0.24
Overwatch,Taiwan,25.11,121.6,119177.0,PS4,2016.0,JP_Sales,0.15
Overwatch,Taiwan,25.11,121.6,119178.0,XOne,2016.0,JP_Sales,0
Overwatch,Taiwan,25.11,121.6,119179.0,PC,2016.0,JP_Sales,0
Overwatch,Taiwan,25.11,121.6,135896.0,PS4,2016.0,Other_Sales,0.33
Overwatch,Taiwan,25.11,121.6,135897.0,XOne,2016.0,Other_Sales,0.1
Overwatch,Taiwan,25.11,121.6,135898.0,PC,2016.0,Other_Sales,0.04
Overwatch,Taiwan,25.11,121.6,152615.0,PS4,2016.0,Global_Sales,2.14
Overwatch,Taiwan,25.11,121.6,152616.0,XOne,2016.0,Global_Sales,1.06
Overwatch,Taiwan,25.11,121.6,152617.0,PC,2016.0,Global_Sales,0.53
Overwatch,Taiwan,25.11,121.6,169334.0,PS4,2016.0,Critic_Score,90
Overwatch,Taiwan,25.11,121.6,169335.0,XOne,2016.0,Critic_Score,91
Overwatch,Taiwan,25.11,121.6,169336.0,PC,2016.0,Critic_Score,91
Overwatch,Taiwan,25.11,121.6,186053.0,PS4,2016.0,Critic_Count,31
Overwatch,Taiwan,25.11,121.6,186054.0,XOne,2016.0,Critic_Count,18
Overwatch,Taiwan,25.11,121.6,186055.0,PC,2016.0,Critic_Count,62
Overwatch,Taiwan,25.11,121.6,202772.0,PS4,2016.0,User_Score,6.1
Overwatch,Taiwan,25.11,121.6,202773.0,XOne,2016.0,User_Score,5.6
Overwatch,Taiwan,25.11,121.6,202774.0,PC,2016.0,User_Score,6.8
Overwatch,Taiwan,25.11,121.6,219491.0,PS4,2016.0,User_Count,1358
Overwatch,Taiwan,25.11,121.6,219492.0,XOne,2016.0,User_Count,668
Overwatch,Taiwan,25.11,121.6,219493.0,PC,2016.0,User_Count,4052
Overwatch,Taiwan,25.11,121.6,236210.0,PS4,2016.0,Developer,Blizzard Entertainment
Overwatch,Taiwan,25.11,121.6,236211.0,XOne,2016.0,Developer,Blizzard Entertainment
Overwatch,Taiwan,25.11,121.6,236212.0,PC,2016.0,Developer,Blizzard Entertainment
Overwatch,Taiwan,25.11,121.6,252929.0,PS4,2016.0,Rating,T
Overwatch,Taiwan,25.11,121.6,252930.0,XOne,2016.0,Rating,T
Overwatch,Taiwan,25.11,121.6,252931.0,PC,2016.0,Rating,T
Overwatch,Thailand,13.74,100.52,52301.0,PS4,2016.0,Genre,Shooter
Overwatch,Thailand,13.74,100.52,52302.0,XOne,2016.0,Genre,Shooter
Overwatch,Thailand,13.74,100.52,52303.0,PC,2016.0,Genre,Shooter
Overwatch,Thailand,13.74,100.52,69020.0,PS4,2016.0,Publisher,Activision
Overwatch,Thailand,13.74,100.52,69021.0,XOne,2016.0,Publisher,Activision
Overwatch,Thailand,13.74,100.52,69022.0,PC,2016.0,Publisher,Activision
Overwatch,Thailand,13.74,100.52,85739.0,PS4,2016.0,NA_Sales,0.81
Overwatch,Thailand,13.74,100.52,85740.0,XOne,2016.0,NA_Sales,0.63
Overwatch,Thailand,13.74,100.52,85741.0,PC,2016.0,NA_Sales,0.25
Overwatch,Thailand,13.74,100.52,102458.0,PS4,2016.0,EU_Sales,0.85
Overwatch,Thailand,13.74,100.52,102459.0,XOne,2016.0,EU_Sales,0.33
Overwatch,Thailand,13.74,100.52,102460.0,PC,2016.0,EU_Sales,0.24
Overwatch,Thailand,13.74,100.52,119177.0,PS4,2016.0,JP_Sales,0.15
Overwatch,Thailand,13.74,100.52,119178.0,XOne,2016.0,JP_Sales,0
Overwatch,Thailand,13.74,100.52,119179.0,PC,2016.0,JP_Sales,0
Overwatch,Thailand,13.74,100.52,135896.0,PS4,2016.0,Other_Sales,0.33
Overwatch,Thailand,13.74,100.52,135897.0,XOne,2016.0,Other_Sales,0.1
Overwatch,Thailand,13.74,100.52,135898.0,PC,2016.0,Other_Sales,0.04
Overwatch,Thailand,13.74,100.52,152615.0,PS4,2016.0,Global_Sales,2.14
Overwatch,Thailand,13.74,100.52,152616.0,XOne,2016.0,Global_Sales,1.06
Overwatch,Thailand,13.74,100.52,152617.0,PC,2016.0,Global_Sales,0.53
Overwatch,Thailand,13.74,100.52,169334.0,PS4,2016.0,Critic_Score,90
Overwatch,Thailand,13.74,100.52,169335.0,XOne,2016.0,Critic_Score,91
Overwatch,Thailand,13.74,100.52,169336.0,PC,2016.0,Critic_Score,91
Overwatch,Thailand,13.74,100.52,186053.0,PS4,2016.0,Critic_Count,31
Overwatch,Thailand,13.74,100.52,186054.0,XOne,2016.0,Critic_Count,18
Overwatch,Thailand,13.74,100.52,186055.0,PC,2016.0,Critic_Count,62
Overwatch,Thailand,13.74,100.52,202772.0,PS4,2016.0,User_Score,6.1
